AssetID,AssetType,BuildingID,InstallationDate,ExpectedLifeYears,AgeYears,RemainingLifeYears,CurrentCondition,RiskLevel,PlannedReplacementDate,PurchaseCost
AST-001,Generator,BLD-04,2015-01-21,25,11.5,13.5,Fair,Medium,2040-01-15,671339
AST-002,Lighting,BLD-05,2023-01-04,8,3.5,4.5,Fair,Medium,2031-01-02,15485
AST-003,Pump,BLD-02,2018-10-06,12,7.8,4.2,Fair,Medium,2030-10-03,57331
AST-004,UPS,BLD-04,2025-09-04,10,0.9,9.1,Good,Low,2035-09-02,365388
AST-005,Chiller,BLD-05,2024-07-20,20,2.0,18.0,Good,Low,2044-07-15,1242463
AST-006,Fire Pump,BLD-04,2018-12-24,20,7.6,12.4,Good,Low,2038-12-19,411477
AST-007,Lighting,BLD-02,2018-10-29,8,7.7,0.3,Critical,Critical,2026-10-27,12517
AST-008,Chiller,BLD-05,2022-11-27,20,3.6,16.4,Good,Low,2042-11-22,1317215
AST-009,Generator,BLD-05,2014-04-02,25,12.3,12.7,Fair,Medium,2039-03-27,1283300
AST-010,Lighting,BLD-03,2019-06-29,8,7.0,1.0,Critical,Critical,2027-06-27,11543
AST-011,Pump,BLD-04,2022-12-07,12,3.6,8.4,Good,Low,2034-12-04,116784
AST-012,AHU,BLD-01,2024-12-24,15,1.5,13.5,Good,Low,2039-12-21,375732
AST-013,Pump,BLD-04,2022-06-13,12,4.1,7.9,Good,Low,2034-06-10,139192
AST-014,Generator,BLD-04,2023-03-10,25,3.3,21.7,Good,Low,2048-03-03,903457
AST-015,Generator,BLD-03,2005-01-15,25,21.5,3.5,Critical,Critical,2030-01-09,1054816
AST-016,Generator,BLD-01,2025-07-09,25,1.0,24.0,Good,Low,2050-07-03,1213328
AST-017,Fire Pump,BLD-03,2006-03-11,20,20.4,0.0,Critical,Critical,2026-03-06,581527
AST-018,UPS,BLD-01,2018-11-06,10,7.7,2.3,Poor,High,2028-11-03,378349
AST-019,Chiller,BLD-04,2016-04-14,20,10.2,9.8,Fair,Medium,2036-04-09,1131680
AST-020,AHU,BLD-02,2020-02-17,15,6.4,8.6,Fair,Medium,2035-02-13,281225
AST-021,Generator,BLD-03,2021-04-06,25,5.3,19.7,Good,Low,2046-03-31,1412804
AST-022,UPS,BLD-05,2018-11-14,10,7.7,2.3,Poor,High,2028-11-11,466161
AST-023,Pump,BLD-02,2022-08-10,12,3.9,8.1,Good,Low,2034-08-07,99009
AST-024,Generator,BLD-01,2002-03-31,25,24.3,0.7,Critical,Critical,2027-03-25,1463110
AST-025,Generator,BLD-01,2011-07-01,25,15.0,10.0,Fair,Medium,2036-06-24,1012340
AST-026,AHU,BLD-03,2017-11-23,15,8.6,6.4,Fair,Medium,2032-11-19,380351
AST-027,Pump,BLD-05,2024-09-26,12,1.8,10.2,Good,Low,2036-09-23,81571
AST-028,AHU,BLD-04,2024-02-12,15,2.4,12.6,Good,Low,2039-02-08,341865
AST-029,UPS,BLD-05,2025-04-05,10,1.3,8.7,Good,Low,2035-04-03,598774
AST-030,UPS,BLD-04,2024-08-16,10,1.9,8.1,Good,Low,2034-08-14,267314
AST-031,Generator,BLD-05,2018-08-18,25,7.9,17.1,Good,Low,2043-08-12,777932
AST-032,UPS,BLD-02,2019-03-27,10,7.3,2.7,Poor,High,2029-03-24,421846
AST-033,Generator,BLD-03,2017-01-05,25,9.5,15.5,Good,Low,2041-12-30,1247581
AST-034,Lighting,BLD-03,2018-07-03,8,8.0,0.0,Critical,Critical,2026-07-01,15647
AST-035,Lighting,BLD-01,2020-03-26,8,6.3,1.7,Poor,High,2028-03-24,12397
AST-036,Pump,BLD-03,2020-12-30,12,5.5,6.5,Fair,Medium,2032-12-27,58392
